@node: #id_pdg,%+voisins,cause,motclef,type,content,label
a47,"a4564,a4590,a4599,a4636,a4707,a4849,a4885,a4887,a4946,a5044",la vente des autoroutes au privé,"['privé', 'argent', 'vente', 'gouvernement', 'argent public', 'société', 'ministre', 'prix', 'autoroute', 'peuple']",1,"les autoroutes payées par l'argent du contribuable ont été vendues à vil prix à des sociétés privées par des ministres. aucun gouvernement ne doit être autorisé (sauf accord du peuple) à vendre un bien financé avec de l'argent public, les responsables devraient faire l'objet de poursuites.",la vente des autoroutes au privé
a48,"a4599,a4876,a4899,a4912,a4948,a5051",élus et revenus,"['indemnité', 'salaire', 'euros par an', 'revenu', 'ministre', 'élu']",1,"les rémunérations et indemnités des élus et désignés [ministres et leurs troupes] ne doivent pas dépassées le montant de la moyenne des salaires français. aujourd’hui : 26 327 euros par an, brut [insee]",élus et revenus
a49,"a4671,a4914",laïcité,"['laïcité', 'loi']",1,"laïcité : appliquer immédiatement les articles 261 et 261 bis du code pénal et la loi de 1905, qui permettent la répression des promoteurs de la charria.",laïcité
a50,"a4719,a4855,a4932,a4956,a4960,a5040",presse,"['suppression', 'subvention', 'consommation', 'information', 'impôt', 'presse']",1,suppression de toutes les subventions à la presse. le consommateur paie sa consommation d’information. nous n’avons pas à payer [impôts] pour des titres dont les orientation ne nous conviennent pas !,presse
a51,a4689,institutions,['institution'],1,pénalisation des accessions aux postes de la fonction publique par copinage ou confrérie.,institutions
a52,"a4625,a4675,a4734,a4922,a4999",immigration,"['nationalité française', 'droit', 'nationalité', 'sol', 'immigration']",1,remplacer le droit du sol par le droit du sang pour l'acquisition de la nationalité française.,immigration
a53,"a4776,a4788",taxes,"['taxe', 'taxation']",1,taxation du kérozen (sauf sur vols intérieurs) et du fioul lourd des navires de croisières.,taxes
a54,"a4729,a4804,a4880,a5049",transition écologique,"['énergies renouvelables', 'transition', 'énergie', 'transition écologique']",1,promotion des énergies renouvelables.,transition écologique
a55,a4692,retraites,['retraite'],1,seuls les personnes ayant cotisé doivent percevoir une retraite.,retraites
a56,"a4577,a4645,a4687,a4807,a4876,a4940,a5051",remise a plat des aides socials,"['habitation', 'salaire', 'revenu', 'personne', 'aide', 'revenu universel', 'france']",1,"remise à plat des aides sociales et transfert vers un revenu universel à partir de 18 ans, habitant en france et sous conditions de salaires &lt; 3500 € pour une personne seul (avantage plus de fraudes)",remise a plat des aides socials
a57,"a4558,a4640,a4679,a4775,a4809,a4843,a4862,a4912,a4946,a5021,a5051",couts de l'etat,"['etat', 'président', 'salaire', 'transport', 'pouvoir', 'anciens présidents', 'avantage', 'gouvernement', 'élu', 'état', 'financement']",1,diminuer les salaires de tous les membres du gouvernement de 30%. arrêter le financement des anciens présidents et membres du gouvernement qui ne sont plus au pouvoir (pas de régime particulier) arrêt des « avantages des élus » (transports par ex),couts de l'etat
a58,"a4721,a4809,a4899,a5053",les indemnités à vie des présidents  de la république,"['indemnité', 'président', 'mandat', 'république']",1,supprimer complètement l'indemnité du président à la fin de son mandat,les indemnités à vie des présidents  de la république
a59,"a4663,a4748,a4773,a4787,a4853,a4981",la démocratie représentative,"[""référendum d' initiative citoyenne"", 'démocratie', 'constitution', 'initiative', 'initiative citoyenne', 'référendum']",1,"instaurer dans la constitution le référendum d'initiative citoyenne constituant, abrogatoire, révocatoire et législatif",la démocratie représentative
a60,"a4593,a4701,a4756,a4855,a4876,a5042",les impôts,"['citoyen', 'revenu', 'égalité', 'impôt sur le revenu', 'impôt', 'pays']",1,que tous les citoyens paient l'impôt sur le revenu dès le premier euro perçu pour répondre à un des principes de notre pays... égalité,les impôts
a61,"a4692,a5051",les salaires sont trop bas,"['retraite', 'salaire']",1,reindexation des salaires et retraites sur le coup de la vie,les salaires sont trop bas
a62,"a4675,a4687,a4692,a4818,a4844",handicap,"['handicap', 'droit', 'retraite', 'personne', 'statut']",1,créer un véritable statut d'aidant pour une personne handicapé avec rémunération et droit à la retraite,handicap
a63,"a4692,a4942,a4959,a4982,a4991",pouvoir d'achat qui diminue,"[""pouvoir d' achat"", ""retraites sur l' inflation"", 'retraite', 'indexer les retraites', 'inflation']",1,d'indexer les retraites sur l'inflation,pouvoir d'achat qui diminue
a64,"a4589,a4674,a4705,a4743,a4847",tva,"['tva', 'ère', 'taux', 'produit', 'baisse']",1,"baisse du taux sur les produits de 1ère nécessité, alimentations, prêt à porter de base,...",tva
a65,"a4560,a4572,a4599,a4650,a4703,a4707,a4744,a4745,a4781,a4809,a4822,a4837,a4851,a4860,a4911,a4912,a5002,a5028,a5034,a5051",limitation des dépenses des représentants du peuple,"['ensemble de la classe politique', 'ensemble de la classe', 'président', 'salaire', 'représentant', 'dépense', 'limitation', 'dépenses des représentants', 'de le peuple', 'élu', 'limitation des dépenses des représentants de le peuple', 'limitation des dépenses', 'ministre', 'fonctionnaire', 'député', 'préfet', 'des représentants de le peuple', 'des dépenses des représentants de le peuple', 'classe politique', 'peuple']",1,"salaire limité a 5000 €  brut pour l'ensemble de la classe politique  ( incluant président, ministres, élus, députés, haut fonctionnaires, préfets,  responsable et haut responsable d'entités publique).",limitation des dépenses des représentants du peuple
a66,"a4560,a4572,a4599,a4692,a4707,a4781,a4809,a4837,a4860,a4911,a4912,a5002,a5028",régime de retraite des représentants du peuple,"['ensemble de la classe politique', 'retraite', 'ensemble de la classe', 'président', 'représentant', 'ministre', 'de le peuple', 'élu', 'préfet', 'fonctionnaire', 'député', 'classe politique', 'peuple']",1,"alignement des retraites de l'ensemble de la classe politique ( incluant président, ministres, élus, députés, haut fonctionnaires, préfets,  responsable et haut responsable d'entités publique) sur le régime général.",régime de retraite des représentants du peuple
a67,"a4558,a4650,a4673,a4703,a4707,a4744,a4745,a4781,a4822,a4851,a4865,a4911,a4937,a5034",limitation des dépenses des représentants du peuple,"['transport', 'dépense', 'limitation', 'représentant', 'dépenses des représentants', 'de le peuple', 'limitation des dépenses des représentants de le peuple', 'limitation des dépenses', 'transports en commun', 'remboursement', 'des dépenses des représentants de le peuple', 'frais', 'des représentants de le peuple', 'peuple']",1,"remboursement des frais d'hôtel professionnels sur la base de 70 €  ( le montant peut être débattu ),  plafonnement pour les frais de transport ( taxi, transports en commun, frais kilométriques).",limitation des dépenses des représentants du peuple
a68,"a4660,a4715,a4720,a4756,a4841,a4912",non représentation citoyenne,"['département', 'commune', 'élu', 'pays', 'représentation', 'région']",1,obliger les élus à résider et travailler dans leur commune/département/région/pays et d'y avoir travaillé au moins pendant 6 ans. halte au parachutages.,non représentation citoyenne
a69,"a4663,a4748,a4773,a4853,a4973",vote,"['initiative', 'initiative citoyenne', 'référendum', ""référendum d' initiative citoyenne"", 'vote']",1,"mettre en place le référendum d'initiative citoyenne quelque soit l'objet de celui-ci (sous seules conditions d'un minimum de demandeurs, par exemple 1million, et que le sujet n'est pas fait l'objet d'un référendum depuis moins de 5 ans).",vote
a70,"a4647,a4720,a4733",communautés de commune,"['commune', 'maire', 'communauté']",1,une présidence tournante des com'com d'un an par maire qui la composent afin que ce ne soit pas les maires de la plus grosse bourgade qui décide seul de tout.,communautés de commune
a71,"a4577,a4807,a4897,a5051",misère,"['salaire', 'apl', 'aide', 'habitation']",1,"aucune ressource allouée sous le seuil de pauvreté, et que dans le calcul des apl, des aides sociales etc, ne soit pris en compte simplement le salaire et plus les ressources complémentaires.",misère
a72,"a4631,a4811,a5047",le chômage qui augmente,"['cice', 'chômage', 'pme']",1,redistribuer le cice aux pme pmi sous condition de ca et embauche,le chômage qui augmente
a73,a4671,loi aliment,['loi'],1,revenir sur cette loi,loi aliment
a74,"a4593,a4692,a4915,a5029",les privilèges,"['commission', 'retraite', 'privilège', 'citoyen']",1,stopper tous les privilèges au niveau de l'état voir (retraite  comme  tout citoyens au bout de 40 années  s'i veulent s'investir après leurs retraites c'est sans rémunérations(ex:..mr.toubon )..supprimer toutes ces commissions payées grassement..,les privilèges
a75,"a4634,a4739",le système électoral,"['élection', 'système']",1,"qu'un candidat à une élection sénatoriale, législative ou présidentielle ne pourra être élu que s'il fait plus de 50 % des inscrits sur les listes électorales...sans quoi l'élection doit être invalidée et recommencée.",le système électoral
a76,"a4558,a4645,a4729,a4739,a4743,a4762,a4776,a4847,a4855,a4866,a4927",le système,"['taxe', 'france', 'énergie', 'produit', 'logement', 'transport', 'baisse', 'produits de première nécessité', 'produits alimentaires', 'impôt', 'système']",1,"une baisse sérieuse de toutes les taxes et impôts sur les produits de première nécessité (énergie, logement, transports, produits alimentaires, vêtements) avec certainement un effort supplémentaire à faire sur les produits bios, sains et fabriqués en france.",le système
a77,"a4902,a4946,a4954,a4991,a4996,a5021,a5039",le pouvoir d'achat,"[""pouvoir d' achat"", 'pouvoir', 'gouvernement', 'invalidité', 'euro', 'smic', 'revalorisation']",1,"revalorisation du smic : 1650 euros net
retraite, indemnité invalidité, aah ect : 1350 euros net
destitution  du gouvernement et aussi de l'assemblée
fin de mandat sans indemnité",le pouvoir d'achat
a78,"a4751,a4761,a4848",l'évasion fiscale et l'optimisation fiscale,"['optimisation', 'évasion', 'évasion fiscale']",1,plus contrôler l’évasion fiscale et faire en sorte d’empêcher l’optimisation fiscale,l'évasion fiscale et l'optimisation fiscale
a79,"a4935,a4954,a5051",salaires trop bas,"['salaire', 'augmentation', 'euro']",1,"une augmentation des salaires jusqu'à 2000 euros de 25 pour cent
augmentation du mimimum vieillesse à 1200euros minimum",salaires trop bas
a80,"a4559,a4593",radar,"['route', 'citoyen']",1,"redonner la fonction première, camera protection du citoyen, radar pas dans l'excès les mettre sur les routes accidentogenes",radar
a81,a4692,reforme des retraites,['retraite'],1,ne pas instaurer la retraite à point,reforme des retraites
a82,"a4715,a4930,a5021",80 kmh,"['pouvoir', 'département', 'vitesse']",1,"rendre le pouvoir de décision aux départements, sans plafond de vitesse",80 kmh
a83,"a4671,a4831",comment pourrait-on rendre notre fiscalité plus juste et plus efficace ?,"['fiscalité', 'loi']",1,(remise en cause de la loi rothschild pour ainsi redevenir maitre de nos finances publiques),comment pourrait-on rendre notre fiscalité plus juste et plus efficace ?
a84,"a4716,a4815,a4919,a5018",justice,"['justice', 'gilets jaunes', 'police', 'jugement']",1,"justice la même  pour tous
christophe  dettinger arrêté puis détention provisoire avant jugement ( je ne conteste pas) par contre benalla circule comme il veut. il a tabassé des gilets jaunes avec un brassard police alors qu'il n'est pas policier.",justice
a85,"a4575,a4727,a4758",déserts médicaux,"['partie', 'médecin', 'consultation']",1,"limiter la paperasse des médecins. une partie devrait être transférable aux secrétaires médicales avec une simple validation du médecin (exemple: questionnaires médicaux remplis avec la secrétaire avant la consultation, validation après par le médecin)",déserts médicaux
a86,"a4564,a4590,a4756,a4883,a4885,a5050",les sociétés d'autoroute,"['gestion', 'argent', 'frexit', 'société', 'autoroute', 'pays']",1,"renationaliser la gestion de nos autoroutes et ainsi faire rentrer de l'argent pour notre pays qui servira aux infrastructures , ah oui l'ue ne veut pas = frexit",les sociétés d'autoroute
a87,"a4655,a4666,a4674,a4684,a4692,a4700,a4743,a4882,a4898,a4935,a5013",pouvoir d achat,"['tva', 'augmentation', 'retraite', 'augmentation de la tva', 'produit', 'tva sur les produits', 'imposition', 'handicapé', 'produits de luxe', 'luxe', 'pouvoir d achat']",1,une augmentation du smlc de 200 € mais sans charge sociale sans imposition et sans quotient familial dessus et que les 100€ aille aux retraités et aux handicapés on les finances avec une augmentation de la tva sur les produits de luxe,pouvoir d achat
a88,"a4634,a4653,a4726,a4812,a4837,a5053",la cinquième république,"['élection', 'instauration', 'proportionnelle', 'république', 'député', 'ric']",1,"passer à la sixième république ;instauration du ric, changement de présidence  nouvelles élections moins de députés , de la proportionnelle",la cinquième république
a89,"a4954,a5051",augmentation de tout les salaires,"['salaire', 'euro']",1,"augmentation de tout les salaires en dessous de 3000 euros, de 15% minimum .",augmentation de tout les salaires
a90,"a4570,a4871",injustice fiscale,"['injustice', 'injustice fiscale']",1,rétablir isf,injustice fiscale
a91,a4960,suppression isf,['suppression'],1,rétablir isf,suppression isf
a92,"a4648,a4692,a4721,a4850,a4862,a4902,a4912,a5051",l'oligarchie,"['retraite', 'âge', 'salaire', 'avantage', 'obligation', 'élu', 'mandat', 'smic']",1,"réduire drastiquement le nombre des élus nationaux, supprimer tous leurs avantages ( fiscaux, retraites, post mandats etc )

 limiter leur salaire à 6 fois le smic avec obligation de présence, mettre une limite d'âge et un nombre limité de mandat",l'oligarchie
a93,"a4568,a4586,a4662,a4716,a4720,a4733,a4814,a4825,a4836,a4912,a4974",l'oligarchie,"['casier judiciaire', 'syndicat', 'justice', 'casier judiciaire vierge', 'communauté', 'commune', 'doublon', 'élu', 'communautés de communes', 'judiciaire vierge', 'français']",1,"- supprimer à l'échelon local tous les doublons liés à la décentralisation, aux communautés de communes et autres syndicats 

- casier judiciaire vierge obligatoire pour tout élu et justice identique à celles des français",l'oligarchie
a94,a4958,education,['education'],1,"limiter les qcm au strict minimum. valoriser la réflexion, la résolution de petits challenges mettant en avant la débrouillardise intellectuelle et manuelle, le ""pourquoi j'apprends"".",education
a95,"a4657,a4811,a5047",la mauvaise répartition du cice,"['cice', 'pme', 'répartition']",1,"redistribuer le cice aux pmi , aux pme et à l artisanat plutôt qu aux multinationales",la mauvaise répartition du cice
a96,"a4800,a4958",education,"['education', 'emploi']",1,"les filières professionnelles devraient être mieux valorisées. avec beaucoup de pratique et de contacts avec des professionnels, ce sont les plus pourvoyeuses d'emplois.",education
a97,"a4554,a4603,a4645,a4755,a4840",banques,"['monnaie', 'création', 'banque', 'banque de france', 'france']",1,création d'une banque de france capable de battre monnaie en cas de faillite renationalisation de la banque défaillante.,banques
a98,a4734,immigration,['immigration'],1,actuellement on a pas les moyens financiers d'accueillir tant d'immigration,immigration
a99,"a4721,a4912,a4964",politique,"['cumul', 'élu', 'mandat']",1,non au cumul des mandats et révocation à mi-mandat pour tous les élus,politique
a100,"a4568,a4814,a4825,a4912",les élus,"['casier judiciaire', 'judiciaire vierge', 'élu', 'casier judiciaire vierge']",1,casier judiciaire vierge pour les élus.,les élus
a101,"a4657,a4712,a4746,a4766,a4807,a4846,a4855,a4935,a4969,a4976",répartition des bénéfices,"['augmentation', 'actionnaire', 'réduction', 'richesse', 'bénéfice', 'entreprise', 'salarié', 'impôt', 'aide', 'répartition']",1,"augmentation des impôts ou réduction des aides  pour les  entreprises qui  ne respectent pas un répartion des richesse a minima de 40% des richesses  redistribué au salarié. 30 / 30 /40
30 % entreprises ( fonctionnement, r&amp;d ... ), 30 % actionnaires, 40 % employés",répartition des bénéfices
a102,"a4621,a4707,a4734,a4787,a4834,a4837,a4850,a4974,a5037,a5058",constitution,"['sénateur', 'français', 'europe', 'ame', 'obligation', 'immigration', 'constitution', 'députés et sénateurs', 'député', 'peuple']",1,"obligation aux gouvernants, députés et sénateurs de consulter le peuple pour toute décision devant entraîner la responsabilité financière ou morale des français ""immigration, ame, cmu, implantation de centrale nucléaire ou à risque majeur, europe",constitution
a103,"a4800,a4899,a4926,a4985,a5051",chomage,"['indemnité', 'emploi', 'travail', 'chomage', 'salaire']",1,"12)  lorsque qu'un travail est proposé à un chômeur à un salaire inférieur à ce qu'il touchait avant, la différence lui est payé en cas de refus de l'emploi le montant du salaire proposé lui est retiré de ses indemnités.",chomage
a104,"a4809,a4818,a5006,a5053",le statut de première dame,"['budget', 'président', 'statut', 'république']",1,"l'abrogation pure et simple du statut de première dame, et du budget qui lui est alloué. seul le président de la république est élu!",le statut de première dame
a105,"a4868,a4907,a4942,a4976",livret a,"['livret', 'inflation', 'actionnaire', 'cac 40']",1,réindexer a l'inflation le livret a des ouvriers ou retraiter qui ont mis leur petit capital alors que les actionnaires du cac 40 se goinfre,livret a
a106,"a4605,a4645,a4710,a4756",armée,"['protection', 'pays', 'armée', 'france']",1,"dédier notre armée uniquement à la france, favoriser les armes de dissuasion, la france n'a pas à prendre sur ses finances la protection des autres pays.",armée
a107,a4779,justice sociale,['travailleur'],1,fin de l'assistanat au cas par cas pour privilégier les travailleurs,justice sociale
a108,a4831,fiscalité,['fiscalité'],1,tout € gagné doit être imposé,fiscalité
a109,a4692,retraite,['retraite'],1,réindexation des retraites sur les retraites,retraite
a110,"a4565,a4758,a4932",contrôle des chaînes d'informations,"['partie', 'contrôle', 'information']",1,un contrôle renforcé des chaînes d'informations afin de diffuser de l'information pure pendant une grande partie du temps et limiter le temps des débats dirigés pour éviter de transformer ces chaînes en chaînes d'opinion.,contrôle des chaînes d'informations
